time pitch RMS intensity loudness noLaugh smallLaugh bigLaugh laughingAndSpeaking noGeste prep stroke retract
11.16 236.417 0.000510 32.599 2.084 0 0 0 1 0 0 1 0
11.20 231.608 0.001745 29.244 1.993 0 0 0 1 0 0 1 0
11.24 226.798 0.004392 49.273 4.821 0 0 0 1 0 0 1 0
11.28 221.989 0.005513 46.288 7.601 0 0 0 1 0 0 1 0
11.32 215.272 0.007630 56.618 7.909 0 0 0 1 0 0 1 0
11.36 210.524 0.033052 68.453 14.688 0 0 0 1 0 0 1 0
11.40 213.163 0.082999 73.484 28.488 0 0 0 1 0 0 1 0
11.44 214.176 0.113976 74.277 42.600 0 0 0 1 0 0 1 0
11.48 213.039 0.030887 43.538 13.066 0 0 0 1 0 0 1 0
11.52 212.330 0.001181 30.137 4.508 0 0 0 1 0 0 1 0
11.56 211.621 0.000851 30.487 2.278 0 0 0 1 0 0 1 0
11.60 210.912 0.000637 28.587 1.757 0 0 0 1 0 0 1 0
11.64 210.203 0.000549 27.452 1.639 0 0 0 1 0 0 1 0
11.68 209.494 0.000537 25.699 1.634 0 0 0 1 0 0 1 0
11.72 208.786 0.000306 20.024 1.624 0 0 0 1 0 0 1 0
11.76 208.077 0.000264 23.307 1.606 0 0 0 1 0 0 1 0
11.80 207.368 0.000246 17.639 1.602 0 0 0 1 0 0 1 0
11.84 206.659 0.000181 19.950 1.601 0 0 0 1 0 0 1 0
11.88 205.950 0.002641 41.925 3.866 0 0 0 1 0 0 1 0
11.92 205.241 0.003309 50.804 6.046 0 0 0 1 0 0 1 0
11.96 204.251 0.005584 51.327 6.284 0 1 0 0 0 0 1 0
12.00 205.985 0.022237 63.203 10.865 0 1 0 0 0 0 1 0
12.04 205.846 0.042602 66.638 18.172 0 1 0 0 0 0 1 0
12.08 198.899 0.033227 60.874 17.506 0 1 0 0 0 0 1 0
12.12 197.379 0.010338 34.623 5.238 0 1 0 0 0 0 1 0
12.16 196.430 0.000542 28.029 2.217 0 1 0 0 0 0 1 0
12.20 195.482 0.001000 32.978 2.867 0 1 0 0 0 0 1 0
12.24 194.534 0.000531 43.127 2.099 0 1 0 0 0 0 1 0
12.28 193.586 0.009075 49.160 7.046 0 1 0 0 0 0 1 0
12.32 192.638 0.002812 32.436 4.265 0 1 0 0 0 0 1 0
12.36 191.690 0.000530 30.698 2.382 0 1 0 0 0 0 1 0
12.40 190.741 0.000844 25.974 2.836 0 1 0 0 0 0 1 0
12.44 189.793 0.000287 20.613 1.943 0 1 0 0 0 0 1 0
12.48 188.845 0.004339 49.587 4.232 0 1 0 0 0 0 1 0
12.52 187.897 0.004086 32.793 3.952 0 1 0 0 0 0 1 0
12.56 186.949 0.000534 27.948 1.995 0 1 0 0 0 0 0 1
12.60 186.001 0.000522 29.473 1.988 0 1 0 0 0 0 0 1
12.64 185.053 0.000771 29.283 2.280 0 1 0 0 0 0 0 1
12.68 184.104 0.004986 43.965 4.231 0 1 0 0 0 0 0 1
12.72 183.156 0.003049 48.699 5.543 0 1 0 0 0 0 0 1
12.76 182.208 0.005141 48.183 6.982 0 1 0 0 0 0 0 1
12.80 181.260 0.003134 36.006 3.708 0 1 0 0 0 0 0 1
12.84 180.312 0.001712 40.240 2.972 0 1 0 0 0 0 0 1
12.88 179.364 0.003464 44.306 5.039 0 1 0 0 0 0 0 1
12.92 178.415 0.002629 37.249 5.044 0 1 0 0 0 0 0 1
12.96 177.467 0.001018 32.990 3.487 0 1 0 0 0 0 0 1
13.00 176.519 0.001099 38.454 3.662 0 1 0 0 0 0 0 1
13.04 175.571 0.002217 40.644 4.372 0 1 0 0 0 0 0 1
13.08 174.623 0.001524 32.419 3.217 0 1 0 0 0 0 0 1
13.12 173.675 0.000664 40.504 2.457 0 1 0 0 0 0 0 1
13.16 172.726 0.001948 38.760 3.593 0 1 0 0 0 0 0 1
13.20 171.778 0.000897 28.348 2.280 0 1 0 0 0 0 0 1
13.24 170.830 0.000704 29.625 2.197 0 1 0 0 0 0 0 1
13.28 169.882 0.000624 28.075 1.858 0 1 0 0 0 0 0 1
13.32 168.934 0.000502 28.200 2.190 0 1 0 0 0 0 0 1
13.36 167.986 0.000434 27.524 2.208 0 1 0 0 1 0 0 0
13.40 167.038 0.000509 28.413 2.435 0 1 0 0 1 0 0 0
13.44 166.089 0.000576 28.546 2.478 0 1 0 0 1 0 0 0
13.48 165.141 0.000394 27.753 2.108 0 1 0 0 1 0 0 0
13.52 164.193 0.000389 22.095 1.856 0 1 0 0 1 0 0 0
13.56 163.245 0.000844 33.855 1.673 0 1 0 0 1 0 0 0
13.60 162.297 0.000917 50.267 2.704 0 1 0 0 1 0 0 0
13.64 161.349 0.007290 47.685 6.814 0 1 0 0 1 0 0 0
13.68 160.400 0.002677 35.863 5.467 0 1 0 0 1 0 0 0
13.72 159.452 0.000988 32.412 3.797 0 1 0 0 1 0 0 0
13.76 158.128 0.000638 37.268 2.503 0 1 0 0 1 0 0 0
13.80 157.733 0.007956 46.600 6.203 0 1 0 0 1 0 0 0
13.84 159.245 0.003689 54.746 6.144 0 1 0 0 1 0 0 0
13.88 160.188 0.007214 38.775 6.166 0 1 0 0 1 0 0 0
13.92 161.131 0.000756 27.212 2.449 0 1 0 0 1 0 0 0
13.96 162.074 0.000407 27.858 1.775 0 1 0 0 1 0 0 0
14.00 163.017 0.001462 52.107 3.636 0 1 0 0 1 0 0 0
14.04 163.960 0.009699 42.338 6.180 0 1 0 0 1 0 0 0
14.08 164.903 0.001342 46.359 3.802 0 1 0 0 1 0 0 0
14.12 165.846 0.005785 43.337 6.360 0 1 0 0 1 0 0 0
14.16 166.790 0.001102 28.899 2.494 0 1 0 0 1 0 0 0
14.20 167.733 0.000524 25.856 2.003 0 1 0 0 1 0 0 0
14.24 168.676 0.000408 30.631 1.886 0 1 0 0 1 0 0 0
14.28 169.993 0.004232 53.334 5.187 0 1 0 0 1 0 0 0
14.32 166.914 0.021608 68.414 13.091 0 1 0 0 1 0 0 0
14.36 156.288 0.058256 64.038 23.864 0 1 0 0 1 0 0 0
14.40 149.949 0.023998 65.726 20.748 0 1 0 0 1 0 0 0
14.44 150.091 0.021461 35.379 9.700 0 1 0 0 1 0 0 0
14.48 150.180 0.001350 43.916 4.618 0 1 0 0 1 0 0 0
14.52 150.269 0.011163 64.981 7.553 0 1 0 0 1 0 0 0
14.56 150.357 0.029627 58.036 8.004 0 1 0 0 1 0 0 0
14.60 150.446 0.010385 48.040 4.346 0 1 0 0 1 0 0 0
14.64 150.535 0.002410 34.938 2.483 0 1 0 0 1 0 0 0
14.68 150.623 0.000766 24.157 1.783 0 1 0 0 1 0 0 0
14.72 150.712 0.000326 27.422 1.648 0 1 0 0 1 0 0 0
14.76 150.801 0.000577 32.839 2.061 0 1 0 0 1 0 0 0
